"titulo","cdd","Criado_por","Observação","Tipo","Enviado para SIBI","Normalizado","Remissiva"
"ÁREAS PORTUÁRIAS","711.76","fflch","","Assunto","","",""
"ÁREAS RESIDENCIAIS","307.336","fflch","","Assunto","","",""
"ÁREAS TURÍSTICAS","307.334","fflch","","Assunto","","",""
"Áreas Urbanas v. ESPAÇO URBANO","","fflch","","","","",""
"ARENDT, HANNAH","320.5","fflch","","Autor","","",""
"Argélia","916.5","fflch","","Assunto","","",""
"Argentina","918.2","fflch","","Assunto","","",""
"ARGUMENTAÇÃO (Filosofia)","168","fflch","","Assunto","","",""
"ARGUMENTAÇÃO (Linguística)","401.41","fflch","","Assunto","","",""
"ARISTOCRACIA (Classes sociais)","305.52","fflch","","Assunto","","",""
"ARISTOCRACIA (Sistemas de governo)","321.5","fflch","","Assunto","","",""
"ARISTÓFANES, poeta cômico grego (c.445-?386 a.C.)","882.4 A749","fflch","","Autor","","",""
"Aristote v. ARISTÓTELES","","","","Autor","","",""
"ARISTÓTELES, filósofo grego (384-322 a.C.) (FFT/FFI)","185.1 A717 (*)","fflch","","Autor","","",""
"ARISTOTELISMO","185.1 A717","fflch","","Assunto","","",""
"Aristotle v. ARISTÓTELES","","fflch","","Autor","","",""
"Armamentismo v. POLÍTICA DESARMAMENTISTA","","fflch","","Assunto","","",""
"Armênia","915.662","fflch","","Assunto","","",""
"Armênia (História)","956.62","","","Assunto","","",""
"ARMÊNIO","491.992","","","","","",""
"Arnóbio de Sica (330 d.C.)","189 A751","","","","","",""
"ARQUEOLOGIA","930.1","fflch","","Assunto","","",""
"ARQUÍLOCO, poeta lírico grego (712-?664 a.C.)","887.1","fflch","","Autor","","",""
"Arquipélago de Bismark","919.58","fflch","","Assunto","","",""
"Arquipélago de Fernando de Noronha","918.134","","","Assunto","","",""
"ARQUITETURA","720","","","","","",""
"Arriano (ca.92-175)","","","Arrien, Arrian, Arriano de Nicomedia, Flavio Arriano","Autor","","",""
"ARTE","700","","","","","",""
"ARTE - CRIATIVIDADE","701.15","","","","","",""
"ARTE - FILOSOFIA","701","","","","","",""
"ARTE - HISTORIA","709","","","","","",""
"ARTE - TEORIA","701","","","","","",""
"ARTE BRASILEIRA","700.81","","","","","",""
"ARTE CONTEMPORÂNEA","709.05","7096021","","Assunto","Enviado para SIBI","Normalizado",""
"ARTE GREGA","709.38","fflch","","Assunto","","",""
"ARTE INDÍGENA","301.2","fflch","","Assunto","","",""
"ARTE MEDIEVAL","709.02","","","Assunto","","",""
"ARTE MODERNA","709.04","7096021","","Assunto","Enviado para SIBI","Normalizado",""
"ARTE POPULAR (Cultura)","306","fflch","","Assunto","","",""
"ARTES PLÁSTICAS","730","7096021","","Assunto","Enviado para SIBI","Normalizado",""
"ARTESANATO INDÍGENA","301.2","fflch","","Assunto","","",""
"Ártico","919.8","fflch","","Assunto","","",""
"ARUAK - DIALETO - TERENA","498.3","","","","","",""
"ARUAK - LINGUA - ARITI (PARICI)","498.3","","","","","",""
"Aruba v. Ilhas Antilhas Holandesas","","fflch","","Assunto","","",""
"ASCETICISMO","241291.447 (*)","fflch","","Assunto","","",""
"Ásia Central","915.8","fflch","","Assunto","","",""
"Ásia do Sul","915.4","fflch","","Assunto","","",""
"ASSEMBLEIA DE DEUS","289.94","fflch","","Assunto","","",""
"Assembleia eleitoral v. COLÉGIO ELEITORAL","","fflch","","Assunto","","",""
"ASSEMBLEIAS CONSTITUINTES","342.02","fflch","","Assunto","","",""
"ASSENTAMENTO URBANO","307.14","fflch","","Assunto","","",""
"ASSENTAMENTOS HUMANOS","307.14","fflch","","Assunto","","",""
"ASSISTÊNCIA ECONÔMIMA INTERNACIONAL","338.91","fflch","","Assunto","","",""
"ASSOCIAÇÕES CRISTÃS","267","fflch","","Assunto","","",""
"ASTECA - LINGUA","497.4","","","","","",""
"ASTECAS (História)","972","","Usar classificação de acordo com o período histórico","Assunto","Não enviado","Normalizado",""
"ASTECAS (Sociologia)","301.2","fflch","Usado para aspectos sociais e antropológicos","Assunto","Não enviado","Normalizado",""
"ASTROLOGIA","133.5","fflch","","Assunto","","",""
